LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Order Price
C88319,FP6298XR-G1,Advanced Analog Technology,,SOP-8-EP,boost converterType 9V 4.5A 2.6V~5.5V SOP-8-EP  DC-DC Converters ROHS,YES,5,1\1,0.431200,2.16
C2765186,TYPE-C 16PIN 2MD(073),SHOU HAN,,SMD,5A 1 Surface Mount 16 Female -25℃~+85℃ Type-C SMD  USB Connectors ROHS,YES,10,10\10,0.056700,0.57
C111212,USBLC6-4SC6,STMicroelectronics,,SOT-23-6,6V 17V Unidirectional 5.25V SOT-23-6  ESD Protection Devices ROHS,YES,5,5\5,0.269100,1.35
C5311018,TP4056,TECH PUBLIC,,SOP-8-EP,SOP-8-EP  Battery Management ICs ROHS,YES,10,5\5,0.081600,0.82
C82736,FS312F-G,Fortune Semicon,,SOT-23-6,SOT-23-6  Battery Management ICs ROHS,YES,10,1\5,0.150800,1.51
C513478,SS54,Slkor(SLKORMICRO Elec.),,SMA,40V 550mV@5A 5A SMA  Schottky Barrier Diodes (SBD) ROHS,YES,20,10\10,0.039300,0.79
C347476,AO3401A,"UMW(Youtai Semiconductor Co., Ltd.)",,SOT-23,"30V 4.1A 65mΩ@10V,4.2A 350mW P Channel SOT-23  MOSFETs ROHS",YES,20,10\10,0.031200,0.62
C113767,W25Q128JVSIQ,Winbond Elec,,SOIC-8-208mil,SOIC-8-208mil  NOR FLASH ROHS,YES,5,1\1,0.816200,4.08
C60708,TXB0104PWR,Texas Instruments,,TSSOP-14,1.65V~5.5V 4 1.2V~3.6V 100Mbps TSSOP-14  Translators / Level Shifters ROHS,YES,5,1\1,0.722300,3.61
C112161,ATMEGA32U4-MU,Microchip Tech,,VQFN-44-EP(7x7),16KB AVR 2.5KB 16MHz FLASH 26 VQFN-44-EP(7x7)  Microcontroller Units (MCUs/MPUs/SOCs) ROHS,YES,5,1\1,3.986900,19.93
C2874116,NH-B2020RGBA-HF,Foshan NationStar Optoelectronics,,"SMD,2.1x2.1mm","Common anode RGB SMD,2.1x2.1mm  Light Emitting Diodes (LED) ROHS",YES,50,50\50,0.010600,0.53
C390767,S3216000091060,JGHC,,SMD3225-4P,16MHz 9pF ±10ppm SMD3225-4P  Crystals ROHS,YES,10,5\5,0.070800,0.71
C282519,TCC0603X7R104K500CT,CCTC,,0603,50V 100nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,200,100\100,0.002000,0.40
C105620,CC0603JRNPO9BN220,YAGEO,,0603,50V 22pF NP0 ±5% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,100,100\100,0.002400,0.24
C5673,CL10A105KA8NNNC,Samsung Electro-Mechanics,,0603,25V 1uF X5R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,100,100\100,0.004600,0.46
C1705,CL10A475KP8NNNC,Samsung Electro-Mechanics,,0603,10V 4.7uF X5R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,100,100\100,0.004200,0.42
C19702,CL10A106KP8NNNC,Samsung Electro-Mechanics,,0603,10V 10uF X5R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,50,50\50,0.006600,0.33
C2918513,CS3225X5R476K160NRL,Samwha Capacitor,,1210,16V 47uF X5R ±10% 1210  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,20,5\5,0.099300,1.99
C965812,XL-2012SURC,XINGLIGHT,,0805,Positive post 617nm~621nm Red 55mW 0805  Light Emitting Diodes (LED) ROHS,YES,100,100\100,0.006000,0.60
C965815,XL-2012UGC,XINGLIGHT,,0805,516nm~525nm Positive post Emerald 80mW 0805  Light Emitting Diodes (LED) ROHS,YES,100,100\100,0.006900,0.69
C5140946,SC0603J5600F2BNRH,Sunway,,0603,100mW ±5% 560Ω 0603  Chip Resistor - Surface Mount ROHS,YES,200,100\100,0.000700,0.14
C2907172,FRC0603J471 TS,FOJAN,,0603,100mW Thick Film Resistors ±5% 470Ω 0603  Chip Resistor - Surface Mount ROHS,YES,200,100\100,0.000900,0.18
C23057,0603WAF4420T5E,UNI-ROYAL(Uniroyal Elec),,0603,100mW Thick Film Resistors ±1% 442Ω 0603  Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.001500,0.15
C2907003,FRC0603F1004TS,FOJAN,,0603,100mW Thick Film Resistors ±1% 1MΩ 0603  Chip Resistor - Surface Mount ROHS,YES,200,100\100,0.001100,0.22
C2907173,FRC0603J473 TS,FOJAN,,0603,100mW Thick Film Resistors ±5% 47kΩ 0603  Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.000900,0.09
C2907117,FRC0603J222 TS,FOJAN,,0603,100mW Thick Film Resistors ±5% 2.2kΩ 0603  Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.000900,0.09
C22812,0603WAF1652T5E,UNI-ROYAL(Uniroyal Elec),,0603,100mW Thick Film Resistors ±1% 16.5kΩ 0603  Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.001100,0.11
C2907089,FRC0603J101 TS,FOJAN,,0603,100mW Thick Film Resistors ±5% 100Ω 0603  Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.000900,0.09
C2888878,TSC005A1732A,BZCN,,SMD,50mA Brick nogging 12V SMD  Tactile Switches ROHS,YES,100,50\50,0.012100,1.21
C285712,MHCI06030-4R7M-R8A,Chilisin Elec,,SMD,5.5A 4.7uH ±20% 6.5A SMD  Power Inductors ROHS,YES,5,5\5,0.137800,0.69
C480340,SK12D07L4B,XKB Connectivity,,Plugin,0.3A Lying SPDT 50V 50V 0.3A 10000 Black Plugin  Slide Switches ROHS,YES,5,5\5,0.105700,0.53
C426566,AMS1117-3.3,Slkor(SLKORMICRO Elec.),,SOT-223,1A 70dB@(120Hz) Fixed 3.3V~3.3V Positive 18V SOT-223  Linear Voltage Regulators (LDO) ROHS,YES,20,10\10,0.048600,0.97
C59461,CL10A226MQ8NRNC,Samsung Electro-Mechanics,,0603,6.3V 22uF X5R ±20% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,50,50\50,0.009300,0.47
C908265,FS8205A,FUXINSEMI,,SOT-23-6,"20V 6A 18mΩ@4.5V,6A 1.5W 2 N-Channel SOT-23-6  MOSFETs ROHS",YES,20,10\10,0.056100,1.12
C2907113,FRC0603J102 TS,FOJAN,,0603,100mW Thick Film Resistors ±5% 1kΩ 0603  Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.000900,0.09
C2930027,FRC0603J103TS,FOJAN,,0603,100mW Thick Film Resistors ±5% 10kΩ 0603  Chip Resistor - Surface Mount ROHS,YES,200,100\100,0.000900,0.18
C2907123,FRC0603J201 TS,FOJAN,,0603,100mW Thick Film Resistors ±5% 200Ω 0603  Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.000900,0.09
C2933233,FRC0603F5111TS,FOJAN,,0603,100mW Thick Film Resistors ±1% 5.11kΩ 0603  Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.001000,0.10
C2930077,FRC0603F22R0TS,FOJAN,,0603,100mW Thick Film Resistors ±1% 22Ω 0603  Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.001000,0.10
